antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
pastry|whole milk,pip fruit,0.09107234479220112,0.17060030785017957,0.024628014366341714,0.27042253521126763,1.5851233718098063,1.0,0.009091044308154503,1.136821971865584,0.4061206369366827,0.10389610389610389,0.12035479191262644,0.20739171873345336
other vegetables|sausage,rolls/buns|whole milk,0.09286813750641354,0.17855310415597742,0.02616726526423807,0.281767955801105,1.5780624880929701,1.0,0.009585371035283782,1.1437068319059085,0.4038128826191111,0.10669456066945607,0.1256500598728005,0.214159839969518
rolls/buns|root vegetables,newspapers,0.09081580297588507,0.13981528989225245,0.020010261672652643,0.22033898305084748,1.5759290934535843,1.0,0.00731282385278159,1.1032803890512415,0.40195780517450946,0.09500609013398295,0.09361209541670248,0.18172912455294668
shopping bags|whole milk,other vegetables|rolls/buns,0.09132888660851719,0.14674191893278604,0.02103642893791688,0.23033707865168537,1.5696747073151567,1.0,0.00763465286298824,1.1086126892698107,0.3994022944182011,0.09692671394799054,0.09797171755389947,0.18684686100416437
white bread,whipped/sour cream,0.0887634684453566,0.15469471523858389,0.021549512570549,0.24277456647398843,1.569378540821902,1.0,0.007818273095805536,1.1163191928528624,0.3981459137709139,0.09710982658959537,0.10419886498197478,0.19103902453052657
rolls/buns|soda|whole milk,sausage,0.06516162134427912,0.2060030785017958,0.02103642893791688,0.3228346456692913,1.5671350545689882,1.0,0.007612934340827054,1.1725303375613016,0.38711814944713646,0.0841025641025641,0.14714360220319792,0.21247585334523095
brown bread|whole milk,bottled water,0.06977937403796819,0.21369933299127758,0.023345305284761416,0.33455882352941174,1.565558576371725,1.0,0.008433499596298742,1.1816231018031629,0.38834910263481687,0.08974358974358974,0.1537064581134248,0.22190126050420167
pastry|rolls/buns,other vegetables|whole milk,0.06952283222165213,0.1913801949717804,0.02077988712160082,0.29889298892988925,1.5617759662851316,1.0,0.007474593936030657,1.1533471955928816,0.3865793925531081,0.08653846153846152,0.13295839811189983,0.20373603870086954
bottled water|other vegetables,whole milk|yogurt,0.09389430477167779,0.15059004617752694,0.022062596203181118,0.2349726775956284,1.5603466733692666,1.0,0.007923048511807371,1.1103001539250898,0.3963299007084726,0.09919261822376009,0.09934264490116565,0.19074017184721795
other vegetables|whole milk|yogurt,sausage,0.07183170856849666,0.2060030785017958,0.023088763468445357,0.32142857142857145,1.5603095534602385,1.0,0.008291210369291221,1.1701007264184062,0.38689269700878326,0.09063444108761329,0.14537272097853682,0.21675413627468423
other vegetables|root vegetables|whole milk,yogurt,0.045407901487942534,0.28296562339661363,0.020010261672652643,0.44067796610169496,1.557355133149961,1.0,0.007161386520984964,1.281970552109085,0.3749095569842681,0.064891846921797,0.2199508808101635,0.255697097284755
whole milk|yogurt,other vegetables|rolls/buns,0.15059004617752694,0.14674191893278604,0.03437660338635198,0.2282793867120954,1.5556521842722866,1.0,0.01227873103808481,1.1056567187338953,0.42050694879573736,0.13073170731707315,0.09556014714484304,0.23127256048891484
other vegetables|rolls/buns,whole milk|yogurt,0.14674191893278604,0.15059004617752694,0.03437660338635198,0.23426573426573427,1.5556521842722864,1.0,0.01227873103808481,1.1092750995124534,0.4186104953285288,0.13073170731707315,0.09851036912347694,0.23127256048891484
bottled water|other vegetables,soda|whole milk,0.09389430477167779,0.15110312981015905,0.022062596203181118,0.2349726775956284,1.5550483824579957,1.0,0.007874872880831652,1.1096294803195779,0.3939200400326582,0.09896432681242807,0.09879827659950423,0.190491432176422
pastry|whole milk,other vegetables|rolls/buns,0.09107234479220112,0.14674191893278604,0.02077988712160082,0.22816901408450704,1.554900029547917,1.0,0.007415756485084904,1.1054986086819742,0.3926295285783479,0.09574468085106383,0.0954307928146147,0.18488870284644932
rolls/buns|yogurt,sausage,0.11133914828116984,0.2060030785017958,0.035659312467932275,0.32027649769585254,1.5547170461001658,1.0,0.01272310516424336,1.1681175048482055,0.4014986625018691,0.1265938069216758,0.14392174087833057,0.24668868471343064
other vegetables|tropical fruit,whole milk|yogurt,0.09132888660851719,0.15059004617752694,0.02129297075423294,0.23314606741573035,1.5482169860076949,1.0,0.007539749502514214,1.107655470918683,0.3896852231058621,0.09651162790697675,0.09719219896904768,0.18727150048810368
other vegetables|rolls/buns|whole milk,sausage,0.08209338122113904,0.2060030785017958,0.02616726526423807,0.31875000000000003,1.5473069738480698,1.0,0.009255776008061916,1.165500068254245,0.38535056280757135,0.0999020568070519,0.14199919224555738,0.22288683063511833
other vegetables|yogurt,soda|whole milk,0.12031811185223192,0.15110312981015905,0.027963057978450487,0.232409381663113,1.5380844986805,1.0,0.00978261470472945,1.1059239781084316,0.39768996765312586,0.11485774499473131,0.09577871554028845,0.20873440220676873
chocolate,whole milk|yogurt,0.08645459209851206,0.15059004617752694,0.020010261672652643,0.23145400593471813,1.5369807753552491,1.0,0.006991060656278457,1.1052168125026,0.38243722953074266,0.09219858156028368,0.09520015558246187,0.18216652596565547
root vegetables|whole milk,shopping bags,0.11313494099538225,0.16829143150333503,0.029245767060030785,0.2585034013605442,1.5360461257673803,1.0,0.010206125886872561,1.121662014394585,0.39349603398139543,0.11597151576805698,0.10846584161116639,0.21614194458271113
rolls/buns|sausage,yogurt,0.0823499230374551,0.28296562339661363,0.035659312467932275,0.4330218068535826,1.5302982802495604,1.0,0.012357115158975637,1.264659532360918,0.3776304648202043,0.10817120622568097,0.20927334637397674,0.2795208762282419
bottled water|whole milk,brown bread,0.11236531554643407,0.13596716264751155,0.023345305284761416,0.20776255707762556,1.5280348065822347,1.0,0.008067312149920456,1.090623581442046,0.3893095343962395,0.10376282782212087,0.08309336326858208,0.18973033514258636
sausage|tropical fruit,yogurt,0.054643406875320676,0.28296562339661363,0.023601847101077475,0.431924882629108,1.5264217520292502,1.0,0.008139641410087557,1.262217538979515,0.3648073859949266,0.07516339869281047,0.20774353935179354,0.2576668837442911
sausage|soda,rolls/buns|whole milk,0.07721908671113391,0.17855310415597742,0.02103642893791688,0.2724252491694352,1.525737961583992,1.0,0.007248721305554335,1.1290206194020584,0.37341415949605705,0.0896174863387978,0.114276583779656,0.1951206705617291
other vegetables|rolls/buns|whole milk,shopping bags,0.08209338122113904,0.16829143150333503,0.02103642893791688,0.25625,1.52265625,1.0,0.007220816295262387,1.118263621508121,0.373951928451649,0.09172259507829976,0.10575647748303516,0.190625
bottled water|rolls/buns,other vegetables|whole milk,0.0792714212416624,0.1913801949717804,0.023088763468445357,0.2912621359223301,1.5219032249668132,1.0,0.007917783415525874,1.1409293139439263,0.3724528652363704,0.09326424870466321,0.12352151200039423,0.2059527837788594
rolls/buns|root vegetables,canned beer,0.09081580297588507,0.16521292970754234,0.022832221652129298,0.2514124293785311,1.5217479032880654,1.0,0.007828276778740383,1.1151495203152078,0.3771083267811398,0.09790979097909791,0.1032592654325489,0.19480559357125313
